Algorithm,Score,Extra Training Data,Paper title,Date,Game
QR-DQN-1,15356,False,,2017-10-27,kangaroo
NoisyNet-Dueling,15227,False,,2017-06-30,kangaroo
Bootstrapped DQN,14862.5,False,,2016-02-15,kangaroo
Duel noop,14854.0,False,,2015-11-20,kangaroo
R2D2,14130.7,False,,2019-05-01,kangaroo
MuZero (Res2 Adam),13838,False,,2021-04-13,kangaroo
DDQN+Pop-Art noop,13150.0,False,,2016-02-24,kangaroo
DDQN (tuned) noop,12992.0,False,,2015-11-20,kangaroo
C51 noop,12853.0,False,,2017-07-21,kangaroo
Prior hs,12185.0,False,,2015-11-18,kangaroo
Persistent AL,11478.46,False,,2015-12-15,kangaroo
DDQN (tuned) hs,11204.0,False,,2015-09-22,kangaroo
ES FF (1 hour) noop,11200.0,False,,2017-03-10,kangaroo
Advantage Learning,10809.16,False,,2015-12-15,kangaroo
Duel hs,10334.0,False,,2015-11-20,kangaroo
DreamerV2,9020,False,,2020-10-05,kangaroo
DQN noop,7259.0,False,,2015-09-22,kangaroo
Nature DQN,6740.0,False,,,kangaroo
Recurrent Rational DQN Average,5266,False,,2021-02-18,kangaroo
DQN hs,4496.0,False,,2015-09-22,kangaroo
POP3D,3891.67,False,,2018-07-02,kangaroo
Rational DQN Average,2941,False,,2021-02-18,kangaroo
A2C + SIL,2888.3,False,,2018-06-14,kangaroo
UCT,1990,False,,2012-07-19,kangaroo
Prior+Duel noop,1792.0,False,,2015-11-20,kangaroo
IMPALA (deep),1632.00,False,,2018-02-05,kangaroo
Best Learner,1622.1,False,,2012-07-19,kangaroo
Gorila,1431.0,False,,2015-07-15,kangaroo
Ape-X,1416,False,,2018-03-02,kangaroo
CGP,1400,False,,2018-06-14,kangaroo
IDVQ + DRSC + XNES,1200,False,,2018-06-04,kangaroo
Prior+Duel hs,861.0,False,,2015-09-22,kangaroo
CURL,345.3,False,,2020-04-08,kangaroo
A3C LSTM hs,125.0,False,,2016-02-04,kangaroo
A3C FF (1 day) hs,106.0,False,,2016-02-04,kangaroo
A3C FF hs,94.0,False,,2016-02-04,kangaroo
SAC,29.3,False,,2019-10-16,kangaroo
SARSA,8.8,False,,,kangaroo
Agent57,19213.96,False,,2020-03-30,gravitar
R2D2,15680.7,False,,2019-05-01,gravitar
MuZero (Res2 Adam),8006.93,False,,2021-04-13,gravitar
Go-Explore,7588,False,,2020-04-27,gravitar
MuZero,6682.70,False,,2019-11-19,gravitar
DreamerV2,4855,False,,2020-10-05,gravitar
RND,3906,False,,2018-10-30,gravitar
UCT,2850,False,,2012-07-19,gravitar
CGP,2350,False,,2018-06-14,gravitar
NoisyNet-Dueling,2209,False,,2017-06-30,gravitar
A2C + SIL,1874.2,False,,2018-06-14,gravitar
Ape-X,1598.5,False,,2018-03-02,gravitar
FQF,1406.0,False,,2019-11-05,gravitar
Intrinsic Reward Agent,1165.1,False,,2018-08-13,gravitar
DQNMMCe,1078.3,False,,2018-07-31,gravitar
QR-DQN-1,995,False,,2017-10-27,gravitar
IQN,911,False,,2018-06-14,gravitar
ES FF (1 hour) noop,805.0,False,,2017-03-10,gravitar
Duel noop,588.0,False,,2015-11-20,gravitar
POP3D,557.17,False,,2018-07-02,gravitar
Prior noop,548.5,False,,2015-11-18,gravitar
Gorila,538.4,False,,2015-07-15,gravitar
DQN-PixelCNN,498.3,False,,2017-03-03,gravitar
DDQN+Pop-Art noop,483.5,False,,2016-02-24,gravitar
DQN noop,473.0,False,,2015-09-22,gravitar
Persistent AL,446.92,False,,2015-12-15,gravitar
C51 noop,440.0,False,,2017-07-21,gravitar
SARSA,429.0,False,,,gravitar
Advantage Learning,417.65,False,,2015-12-15,gravitar
DDQN (tuned) noop,412.0,False,,2015-11-20,gravitar
Best Learner,387.7,False,,2012-07-19,gravitar
IMPALA (deep),359.50,False,,2018-02-05,gravitar
A3C LSTM hs,320.0,False,,2016-02-04,gravitar
Nature DQN,306.7,False,,,gravitar
A3C FF hs,303.5,False,,2016-02-04,gravitar
DQN hs,298.0,False,,2015-09-22,gravitar
Duel hs,297.0,False,,2015-11-20,gravitar
Bootstrapped DQN,286.1,False,,2016-02-15,gravitar
Prior hs,269.5,False,,2015-11-18,gravitar
A3C FF (1 day) hs,269.5,False,,2016-02-04,gravitar
A3C-CTS,238.68,False,,2016-06-06,gravitar
Prior+Duel noop,238.0,False,,2015-11-20,gravitar
DQN-CTS,238.0,False,,2017-03-03,gravitar
DDQN (tuned) hs,200.5,False,,2015-09-22,gravitar
Prior+Duel hs,167.0,False,,2015-09-22,gravitar
MuZero,100.00,False,,2019-11-19,boxing
Ape-X,100,False,,2018-03-02,boxing
NoisyNet-Dueling,100,False,,2017-06-30,boxing
UCT,100,False,,2012-07-19,boxing
Agent57,100,False,,2020-03-30,boxing
MuZero (Res2 Adam),100,False,,2021-04-13,boxing
IMPALA (deep),99.96,False,,2018-02-05,boxing
QR-DQN-1,99.9,False,,2017-10-27,boxing
IQN,99.8,False,,2018-06-14,boxing
A2C + SIL,99.6,False,,2018-06-14,boxing
Duel noop,99.4,False,,2015-11-20,boxing
Reactor 500M,99.4,False,,2017-04-15,boxing
DDQN+Pop-Art noop,99.3,False,,2016-02-24,boxing
Prior+Duel noop,98.9,False,,2015-11-20,boxing
R2D2,98.5,False,,2019-05-01,boxing
DDRL A3C,98,False,,2018-01-09,boxing
C51 noop,97.8,False,,2017-07-21,boxing
POP3D,97.23,False,,2018-07-02,boxing
Prior noop,95.6,False,,2015-11-18,boxing
Persistent AL,94.3,False,,2015-12-15,boxing
Advantage Learning,93.94,False,,2015-12-15,boxing
Bootstrapped DQN,93.2,False,,2016-02-15,boxing
DDQN (tuned) noop,91.6,False,,2015-11-20,boxing
DQN noop,88.0,False,,2015-09-22,boxing
DreamerV2,82,False,,2020-10-05,boxing
Prior+Duel hs,79.2,False,,2015-09-22,boxing
Duel hs,77.3,False,,2015-11-20,boxing
Gorila,74.2,False,,2015-07-15,boxing
DDQN (tuned) hs,73.5,False,,2015-09-22,boxing
Prior hs,72.3,False,,2015-11-18,boxing
Nature DQN,71.8,False,,,boxing
DQN hs,70.3,False,,2015-09-22,boxing
A3C FF hs,59.8,False,,2016-02-04,boxing
ES FF (1 hour) noop,49.8,False,,2017-03-10,boxing
Best Learner,44,False,,2012-07-19,boxing
CGP,38.4,False,,2018-06-14,boxing
A3C LSTM hs,37.3,False,,2016-02-04,boxing
A3C FF (1 day) hs,33.7,False,,2016-02-04,boxing
SARSA,9.8,False,,,boxing
CURL,4.8,False,,2020-04-08,boxing
NoisyNet-Dueling,10,False,,2017-06-30,surround
MuZero,9.99,False,,2019-11-19,surround
R2D2,9.9,False,,2019-05-01,surround
MuZero (Res2 Adam),9.9,False,,2021-04-13,surround
Agent57,9.5,False,,2020-03-30,surround
IQN,9.4,False,,2018-06-14,surround
QR-DQN-1,8.2,False,,2017-10-27,surround
IMPALA (deep),7.56,False,,2018-02-05,surround
Ape-X,7.1,False,,2018-03-02,surround
Persistent AL,0.72,False,,2015-12-15,surround
Agent57,2354.91,False,,2020-03-30,tutankham
MuZero,491.48,False,,2019-11-19,tutankham
R2D2,395.3,False,,2019-05-01,tutankham
MuZero (Res2 Adam),347.99,False,,2021-04-13,tutankham
A2C + SIL,340.5,False,,2018-06-14,tutankham
QR-DQN-1,297,False,,2017-10-27,tutankham
IQN,293,False,,2018-06-14,tutankham
IMPALA (deep),292.11,False,,2018-02-05,tutankham
C51 noop,280.0,False,,2017-07-21,tutankham
Ape-X,272.6,False,,2018-03-02,tutankham
NoisyNet-Dueling,269,False,,2017-06-30,tutankham
Prior+Duel noop,245.9,False,,2015-11-20,tutankham
Advantage Learning,245.22,False,,2015-12-15,tutankham
POP3D,241.21,False,,2018-07-02,tutankham
DreamerV2,235,False,,2020-10-05,tutankham
UCT,225.5,False,,2012-07-19,tutankham
DDQN (tuned) noop,218.4,False,,2015-11-20,tutankham
Bootstrapped DQN,214.8,False,,2016-02-15,tutankham
Duel noop,211.4,False,,2015-11-20,tutankham
Prior noop,204.6,False,,2015-11-18,tutankham
DARQN soft,197,False,,2015-12-05,tutankham
Nature DQN,186.7,False,,,tutankham
Recurrent Rational DQN Average,184,False,,2021-02-18,tutankham
DDQN+Pop-Art noop,183.9,False,,2016-02-24,tutankham
Rational DQN Average,179,False,,2021-02-18,tutankham
A3C FF hs,156.3,False,,2016-02-04,tutankham
A3C LSTM hs,144.2,False,,2016-02-04,tutankham
ES FF (1 hour) noop,130.3,False,,2017-03-10,tutankham
Gorila,118.5,False,,2015-07-15,tutankham
Best Learner,114.3,False,,2012-07-19,tutankham
Prior+Duel hs,108.6,False,,2015-09-22,tutankham
SARSA,98.2,False,,,tutankham
DDQN (tuned) hs,92.2,False,,2015-09-22,tutankham
DQN noop,68.1,False,,2015-09-22,tutankham
Prior hs,56.9,False,,2015-11-18,tutankham
Duel hs,48.0,False,,2015-11-20,tutankham
DQN hs,45.6,False,,2015-09-22,tutankham
A3C FF (1 day) hs,26.1,False,,2016-02-04,tutankham
CGP,0,False,,2018-06-14,tutankham
Agent57,135784.96,False,,2020-03-30,james bond
FQF,87291.7,False,,2019-11-05,james bond
MuZero,41063.25,False,,2019-11-19,james bond
IQN,35108,False,,2018-06-14,james bond
MuZero (Res2 Adam),28626.23,False,,2021-04-13,james bond
R2D2,25354.0,False,,2019-05-01,james bond
Ape-X,21322.5,False,,2018-03-02,james bond
DreamerV2,17614,False,,2020-10-05,james bond
CGP,6130,False,,2018-06-14,james bond
Prior noop,5148.0,False,,2015-11-18,james bond
QR-DQN-1,4703,False,,2017-10-27,james bond
Prior hs,3961.0,False,,2015-11-18,james bond
C51 noop,1909.0,False,,2017-07-21,james bond
Bootstrapped DQN,1663.5,False,,2016-02-15,james bond
DDQN (tuned) noop,1358.0,False,,2015-11-20,james bond
Duel noop,1312.5,False,,2015-11-20,james bond
Recurrent Rational DQN Average,1137,False,,2021-02-18,james bond
Rational DQN Average,1122,False,,2021-02-18,james bond
Advantage Learning,848.46,False,,2015-12-15,james bond
Duel hs,835.5,False,,2015-11-20,james bond
Prior+Duel noop,812.0,False,,2015-11-20,james bond
Persistent AL,772.09,False,,2015-12-15,james bond
DQN noop,768.5,False,,2015-09-22,james bond
DQN hs,697.5,False,,2015-09-22,james bond
A3C LSTM hs,613.0,False,,2016-02-04,james bond
IMPALA (deep),601.50,False,,2018-02-05,james bond
Prior+Duel hs,585.0,False,,2015-09-22,james bond
Nature DQN,576.7,False,,,james bond
DDQN (tuned) hs,573.0,False,,2015-09-22,james bond
A3C FF hs,541.0,False,,2016-02-04,james bond
DDQN+Pop-Art noop,507.5,False,,2016-02-24,james bond
Gorila,444.0,False,,2015-07-15,james bond
POP3D,358.54,False,,2018-07-02,james bond
SARSA,354.1,False,,,james bond
A3C FF (1 day) hs,351.5,False,,2016-02-04,james bond
UCT,330,False,,2012-07-19,james bond
A2C + SIL,310.8,False,,2018-06-14,james bond
Best Learner,202.8,False,,2012-07-19,james bond
SAC,68.3,False,,2019-10-16,james bond
Agent57,839573.53,False,,2020-03-30,star gunner
R2D2,717344.0,False,,2019-05-01,star gunner
MuZero,549271.70,False,,2019-11-19,star gunner
Ape-X,434342.5,False,,2018-03-02,star gunner
IMPALA (deep),200625.00,False,,2018-02-05,star gunner
A3C LSTM hs,164766.0,False,,2016-02-04,star gunner
MuZero (Res2 Adam),154548.26,False,,2021-04-13,star gunner
A3C FF hs,138218.0,False,,2016-02-04,star gunner
FQF,131981.2,False,,2019-11-05,star gunner
Prior+Duel hs,127073.0,False,,2015-09-22,star gunner
Prior+Duel noop,125117.0,False,,2015-11-20,star gunner
Duel hs,90804.0,False,,2015-11-20,star gunner
Duel noop,89238.0,False,,2015-11-20,star gunner
QR-DQN-1,77495,False,,2017-10-27,star gunner
NoisyNet-Dueling,75867,False,,2017-06-30,star gunner
IQN,74677,False,,2018-06-14,star gunner
RIMs-PPO,70000,False,,,star gunner
A3C FF (1 day) hs,64393.0,False,,2016-02-04,star gunner
Prior noop,63302.0,False,,2015-11-18,star gunner
Prior hs,61582.0,False,,2015-11-18,star gunner
Advantage Learning,61353.59,False,,2015-12-15,star gunner
DDQN (tuned) noop,60142.0,False,,2015-11-20,star gunner
DDQN (tuned) hs,58365.0,False,,2015-09-22,star gunner
Nature DQN,57997.0,False,,,star gunner
Bootstrapped DQN,55725,False,,2016-02-15,star gunner
DQN noop,54282.0,False,,2015-09-22,star gunner
DQN hs,52970.0,False,,2015-09-22,star gunner
C51 noop,49095.0,False,,2017-07-21,star gunner
POP3D,48984,False,,2018-07-02,star gunner
A2C + SIL,31309.2,False,,2018-06-14,star gunner
DreamerV2,20280,False,,2020-10-05,star gunner
Gorila,14919.2,False,,2015-07-15,star gunner
CGP,2320,False,,2018-06-14,star gunner
ES FF (1 hour) noop,1470.0,False,,2017-03-10,star gunner
Full Tree,1345,False,,2012-07-19,star gunner
Best Learner,1069.5,False,,2012-07-19,star gunner
DDQN+Pop-Art noop,589.0,False,,2016-02-24,star gunner
SARSA,9.4,False,,,star gunner
MuZero,260.13,False,,2019-11-19,bowling
Go-Explore,260,False,,2020-04-27,bowling
Agent57,251.18,False,,2020-03-30,bowling
R2D2,219.5,False,,2019-05-01,bowling
RUDDER,179,False,,2018-06-20,bowling
MuZero (Res2 Adam),131.65,False,,2021-04-13,bowling
FQF,102.3,False,,2019-11-05,bowling
DDQN+Pop-Art noop,102.1,False,,2016-02-24,bowling
IQN,86.5,False,,2018-06-14,bowling
CGP,85.8,False,,2018-06-14,bowling
C51 noop,81.8,False,,2017-07-21,bowling
Reactor 500M,81.0,False,,2017-04-15,bowling
QR-DQN-1,77.2,False,,2017-10-27,bowling
Persistent AL,71.59,False,,2015-12-15,bowling
DDQN (tuned) hs,69.6,False,,2015-09-22,bowling
DDQN (tuned) noop,68.1,False,,2015-11-20,bowling
Duel hs,65.7,False,,2015-11-20,bowling
Duel noop,65.5,False,,2015-11-20,bowling
Bootstrapped DQN,60.2,False,,2016-02-15,bowling
IMPALA (deep),59.92,False,,2018-02-05,bowling
Advantage Learning,57.41,False,,2015-12-15,bowling
DQN hs,56.5,False,,2015-09-22,bowling
Gorila,54,False,,2015-07-15,bowling
Prior hs,52,False,,2015-11-18,bowling
DQN noop,50.4,False,,2015-09-22,bowling
Prior+Duel hs,50.4,False,,2015-09-22,bowling
Prior noop,47.9,False,,2015-11-18,bowling
Prior+Duel noop,46.7,False,,2015-11-20,bowling
Best Learner,43.9,False,,2012-07-19,bowling
Nature DQN,42.4,False,,,bowling
A3C LSTM hs,41.8,False,,2016-02-04,bowling
POP3D,38.99,False,,2018-07-02,bowling
SARSA,36.4,False,,,bowling
A3C FF (1 day) hs,36.2,False,,2016-02-04,bowling
A3C FF hs,35.1,False,,2016-02-04,bowling
DreamerV2,32,False,,2020-10-05,bowling
A2C + SIL,31.1,False,,2018-06-14,bowling
ES FF (1 hour) noop,30,False,,2017-03-10,bowling
Ape-X,17.6,False,,2018-03-02,bowling
Go-Explore,1422628,False,,2020-04-27,centipede
MuZero,1159049.27,False,,2019-11-19,centipede
MuZero (Res2 Adam),874301.64,False,,2021-04-13,centipede
R2D2,599140.3,False,,2019-05-01,centipede
Agent57,412847.86,False,,2020-03-30,centipede
Full Tree,125123,False,,2012-07-19,centipede
DDQN+Pop-Art noop,49065.8,False,,2016-02-24,centipede
CGP,24708,False,,2018-06-14,centipede
Ape-X,12974,False,,2018-03-02,centipede
QR-DQN-1,12447,False,,2017-10-27,centipede
IQN,11561,False,,2018-06-14,centipede
IMPALA (deep),11049.75,False,,2018-02-05,centipede
C51 noop,9646.0,False,,2017-07-21,centipede
Best Learner,8803.8,False,,2012-07-19,centipede
Nature DQN,8309.0,False,,,centipede
ES FF (1 hour) noop,7783.9,False,,2017-03-10,centipede
Prior+Duel noop,7687.5,False,,2015-11-20,centipede
NoisyNet-Dueling,7596,False,,2017-06-30,centipede
Duel noop,7561.4,False,,2015-11-20,centipede
A2C + SIL,7559.5,False,,2018-06-14,centipede
Gorila,6296.9,False,,2015-07-15,centipede
Prior+Duel hs,5570.2,False,,2015-09-22,centipede
DDQN (tuned) noop,5409.4,False,,2015-11-20,centipede
DreamerV2,4898,False,,2020-10-05,centipede
Duel hs,4881.0,False,,2015-11-20,centipede
DQN noop,4657.7,False,,2015-09-22,centipede
SARSA,4647.0,False,,,centipede
Bootstrapped DQN,4553.5,False,,2016-02-15,centipede
Persistent AL,4539.55,False,,2015-12-15,centipede
Prior noop,4463.2,False,,2015-11-18,centipede
Advantage Learning,4225.18,False,,2015-12-15,centipede
DQN hs,3973.9,False,,2015-09-22,centipede
DDQN (tuned) hs,3853.5,False,,2015-09-22,centipede
A3C FF hs,3755.8,False,,2016-02-04,centipede
Prior hs,3489.1,False,,2015-11-18,centipede
Reactor 500M,3422.0,False,,2017-04-15,centipede
POP3D,3315.44,False,,2018-07-02,centipede
A3C FF (1 day) hs,3306.5,False,,2016-02-04,centipede
A3C LSTM hs,1997.0,False,,2016-02-04,centipede
Ape-X,23.9,False,,2018-03-02,tennis
Agent57,23.84,False,,2020-03-30,tennis
IQN,23.6,False,,2018-06-14,tennis
QR-DQN-1,23.6,False,,2017-10-27,tennis
C51 noop,23.1,False,,2017-07-21,tennis
DreamerV2,21,False,,2020-10-05,tennis
Recurrent Rational DQN Average,20.6,False,,2021-02-18,tennis
Rational DQN Average,20.5,False,,2021-02-18,tennis
DQN noop,12.2,False,,2015-09-22,tennis
DDQN+Pop-Art noop,12.1,False,,2016-02-24,tennis
DQN hs,11.1,False,,2015-09-22,tennis
Duel noop,5.1,False,,2015-11-20,tennis
Duel hs,4.4,False,,2015-11-20,tennis
UCT,2.8,False,,2012-07-19,tennis
IMPALA (deep),0.55,False,,2018-02-05,tennis
SARSA,0.0,False,,,tennis
Prior noop,0.0,False,,2015-11-18,tennis
Prior+Duel noop,0.0,False,,2015-11-20,tennis
Bootstrapped DQN,0,False,,2016-02-15,tennis
MuZero,0.00,False,,2019-11-19,tennis
CGP,0,False,,2018-06-14,tennis
NoisyNet-Dueling,0,False,,2017-06-30,tennis
Advantage Learning,0,False,,2015-12-15,tennis
MuZero (Res2 Adam),0,False,,2021-04-13,tennis
Nature DQN,-2.5,False,,,tennis
Gorila,-0.7,False,,2015-07-15,tennis
DDQN (tuned) noop,-22.8,False,,2015-11-20,tennis
DDQN (tuned) hs,-7.8,False,,2015-09-22,tennis
Prior+Duel hs,-13.2,False,,2015-09-22,tennis
Prior hs,-5.3,False,,2015-11-18,tennis
A3C FF hs,-6.3,False,,2016-02-04,tennis
A3C LSTM hs,-6.4,False,,2016-02-04,tennis
A3C FF (1 day) hs,-10.2,False,,2016-02-04,tennis
ES FF (1 hour) noop,-4.5,False,,2017-03-10,tennis
R2D2,-0.1,False,,2019-05-01,tennis
Best Learner,-0.1,False,,2012-07-19,tennis
POP3D,-8.32,False,,2018-07-02,tennis
A2C + SIL,-17.3,False,,2018-06-14,tennis
